time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,8.35930236876e-09,-6.78419409402e-08,10.0014313571,6.283060054,6.28317323811,0.0,8.44599252645e-07,-7.81972427064e-06,0.0477106191591,-0.00662918030146,-0.00060655454441,0.0,420.21228294035143,420.15971398064806,420.06670465720396,419.4916004046658
0.12000000000000001,1.98346783741e-07,-4.4228524022e-06,10.0060345783,6.28262148936,0.000187439455712,0.0,-3.25859825194e-06,-0.000177369091401,0.105725929637,-0.00870584185861,0.0102133888596,0.0,423.0366786609016,423.9671162616036,423.33778941879496,423.15920368151023
0.18,-5.60394048757e-06,-2.69047461258e-05,10.0134784081,6.2825953966,0.000738992219484,0.0,-0.00024415450697,-0.000593989645027,0.142397461554,0.0123968044147,0.0070684238075,0.0,416.4556268870155,416.1803851858475,415.43799000951077,417.28391504068617
0.23999999999999996,-3.54829319029e-05,-7.10524253714e-05,10.0230613006,6.28301806043,0.00106533550022,0.0,-0.000786652699521,-0.000820941686168,0.177027201562,-0.00669987700997,0.00196296520422,0.0,416.49806168857816,416.0512904752753,415.90213847243774,414.22641093796744
0.3,-0.000109134462244,-0.000126176142569,10.0398776799,6.28243610262,0.00157604020873,0.0,-0.00170825383112,-0.00107350426616,0.383471573302,-0.0164982496113,0.0191484477429,0.0,469.55425695613474,470.8852483412979,469.18873669218834,468.42764894669295
0.36000000000000004,-0.000247659603091,-0.000208726084535,10.0653645013,6.28197257323,0.00273798560464,0.0,-0.00302408440668,-0.00174630411657,0.466058233685,0.0057100826317,0.0197968353919,0.0,431.4527952734931,431.50749658371376,430.60157509754407,432.4759873552245
0.4200000000000001,-0.000494736136246,-0.000338838638461,10.0978810522,6.28250015793,0.0036091316475,0.0,-0.00532770933268,-0.00254230760036,0.617756206926,0.0143387220498,0.00102857266828,0.0,454.4361449922695,452.929359417316,452.4857001277469,453.179582571984
0.48000000000000015,-0.000904822298821,-0.000504393650956,10.1422772003,6.28291566985,0.00332634725928,0.0,-0.00833211869572,-0.00288848153548,0.86196333916,-0.0151485599087,-0.0198187316769,0.0,481.6404970184442,480.0615147197721,482.0858355511331,479.85286913857226
0.5400000000000001,-0.00146465040191,-0.000686224682749,10.1956104564,6.2818347942,0.00218013147748,0.0,-0.0102176090306,-0.0032665237229,0.915770252902,-0.0244703346125,-0.017710479626,0.0,422.2315152232673,422.4133605590818,423.599539624875,422.79730617622135
0.6000000000000002,-0.00212832476654,-0.000923748137675,10.2584688454,6.28002068251,0.000963615854817,0.0,-0.0117613186241,-0.00485304154676,1.17927523108,-0.0454196682497,-0.0259733138008,0.0,486.51748414516624,485.89856389222484,488.3391630345737,486.77389123094395
0.6600000000000003,-0.00284842324567,-0.00129369574184,10.3330087002,6.27710014911,6.28226861086,0.0,-0.012063139121,-0.00777581021391,1.30524986244,-0.0561431484559,-0.0451221212172,0.0,447.12784680983054,445.56484629115585,447.0105540072135,446.13445458691916
0.7200000000000003,-0.00353809104961,-0.00192118807014,10.4176626423,6.27377818362,6.2793608041,0.0,-0.0105948749536,-0.0135349996161,1.51628905037,-0.0538561690944,-0.0561586448304,0.0,472.47465678079607,471.6217567321054,472.8392031974685,473.01347168051916
0.7800000000000004,-0.00407273120679,-0.00295952593348,10.513764091,6.27157189577,6.27623783592,0.0,-0.00686371251368,-0.021365523774,1.68685180981,-0.015115817581,-0.0448917713569,0.0,459.8170913785147,460.7070205955276,460.1805227602191,463.2357676734463
0.8400000000000004,-0.00433660417312,-0.0044755202983,10.6171776419,6.27036608129,6.27342616554,0.0,-0.00166330364293,-0.0292673726896,1.76015295038,-0.032607675615,-0.0511220865491,0.0,431.4802031979932,430.9525407042813,431.8935142808983,430.41576247373405
0.9000000000000005,-0.00422230546651,-0.00650550400543,10.7259071721,6.26805846398,6.27077731106,0.0,0.00576190771603,-0.0386113201855,1.86399482817,-0.0539617567759,-0.0329532068963,0.0,439.92906222660463,441.42958750221635,442.55708131187106,440.7951990280044
0.9600000000000005,-0.00364301288433,-0.00910969509018,10.8383660112,6.26449562542,6.26852746716,0.0,0.0137363434681,-0.048498519613,1.88459148175,-0.073342794357,-0.0486315724237,0.0,416.09686460600255,414.721285182027,414.41044471935714,412.7004995730897
1.0200000000000005,-0.00242737269008,-0.0125214426363,10.9595373536,6.26047104018,6.26520539305,0.0,0.027167315549,-0.0657494396894,2.15396842295,-0.0568233424055,-0.0743421365099,0.0,492.4102265498231,490.5027382810936,490.05139317730647,491.27470497943693
1.0800000000000005,-0.000427302130815,-0.0169247946545,11.0907851737,6.25773863961,6.26070189851,0.0,0.0399345028909,-0.081317815827,2.22081479545,-0.0292946975436,-0.0765294811451,0.0,431.0896658364343,430.9001877218541,429.6626263133595,431.98859125458216
1.1400000000000006,0.00233491317908,-0.0222080441912,11.2220566324,6.25607529053,6.25592251576,0.0,0.0525047210214,-0.0949260187906,2.1550137773,-0.0247506255575,-0.0867817934108,0.0,386.55241347748097,385.5788833361589,385.7222399311783,386.15079788631897
1.2000000000000006,0.00610569385446,-0.028505476285,11.3556725166,6.25466615034,6.25083765563,0.0,0.0737379194401,-0.115137266095,2.29854892491,-0.0210689953721,-0.0809640413133,0.0,454.686438516908,455.1465365847465,455.1548904500584,455.44938466718463
